epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,2280.78,1.14446,1.05121,1.5167,0.55267,0.73684,0.70078,0.43682,1.39233,1.53897,1.99923,0.0008978,0.0008978,0.0008978
169,2290.31,1.07132,0.96867,1.49347,0.55267,0.73684,0.70078,0.43682,1.39233,1.53897,1.99923,0.0008912,0.0008912,0.0008912
170,2299.79,1.08346,0.95771,1.48375,0.65164,0.78947,0.74672,0.47837,1.32108,1.41504,1.96286,0.0008846,0.0008846,0.0008846
171,2309.55,1.11976,0.97082,1.4955,0.82171,0.72817,0.85197,0.55844,1.33777,1.22506,1.94215,0.000878,0.000878,0.000878
172,2319.4,1.03524,0.90206,1.41873,0.93221,0.72442,0.87021,0.54273,1.37516,1.11018,1.89409,0.0008714,0.0008714,0.0008714
173,2329.01,1.0699,0.96919,1.44954,0.93221,0.72442,0.87021,0.54273,1.37516,1.11018,1.89409,0.0008648,0.0008648,0.0008648
174,2338.46,0.98868,0.8506,1.3995,1,0.77465,0.90867,0.56359,1.29768,1.06217,1.80852,0.0008582,0.0008582,0.0008582
175,2348.14,1.06245,0.95635,1.42044,0.97336,0.73684,0.9096,0.58721,1.25376,1.03897,1.78285,0.0008516,0.0008516,0.0008516
176,2357.82,1.04828,0.9654,1.45725,0.94665,0.73684,0.92206,0.61255,1.24029,1.06237,1.77213,0.000845,0.000845,0.000845
177,2367.38,1.21228,1.08169,1.63784,0.94665,0.73684,0.92206,0.61255,1.24029,1.06237,1.77213,0.0008384,0.0008384,0.0008384
178,2376.79,0.93203,0.76955,1.31332,0.86755,0.84211,0.91415,0.58797,1.32629,1.16683,1.796,0.0008318,0.0008318,0.0008318
179,2386.37,1.03983,0.88607,1.45521,0.82475,0.78947,0.85626,0.5458,1.37146,1.21626,1.82195,0.0008252,0.0008252,0.0008252
180,2395.76,1.0265,0.87219,1.47305,0.81052,0.78947,0.81,0.54863,1.26139,1.24251,1.75287,0.0008186,0.0008186,0.0008186
181,2405.23,0.99854,0.87723,1.43345,0.81052,0.78947,0.81,0.54863,1.26139,1.24251,1.75287,0.000812,0.000812,0.000812
